ar_doi;au_id;au_in_article;au_byline;au_position;au_h-index;au_c01;au_c02;au_c03;au_c04;au_c05;au_c06;au_c07;au_c08;au_c09;au_c10;
10.1001/jama.2012.9014;7201966258;4;1;4;45;0,333333333;0,25;0,333333333;0,333333333;1;0,5;1;0;0,25;0,333333333;
10.1001/jama.2010.1271;6602532922;5;0;1;17;0,2;0,2;1;0,5;0,2;1;0;0;0,2;1;
10.1001/jama.2011.1357;35395213700;10;0;1;73;0,333333333;0,1;0,5;0,25;0,5;0,5;1;0;0,1;1;
10.1001/jama.300.13.1544;35738953500;4;0;1;8;0,5;0,25;1;0,5;0;0,25;1;0;0,25;0,5;
10.1001/jama.2015.11068;25029566500;5;1;5;27;0,333333333;0,2;0,5;0;1;1;1;0,2;0;0;
10.1001/jama.2011.353;6603745568;6;0;1;33;0,5;0,166666667;1;0,5;1;0;0,5;0;0,166666667;0,333333333;
10.1001/jama.2016.5618;7003640386;4;1;4;67;0,333333333;0,333333333;0,333333333;0,333333333;0,5;1;1;0,333333333;0;0;
10.1001/jama.2009.496;9040082100;7;0;1;45;0,333333333;0,142857143;1;0,5;0,5;0,5;0,5;0;0,142857143;0,5;
10.1001/jama.2009.561;6602707513;4;0;1;20;0,5;0,25;0,5;0;0,5;0,5;1;0;0,333333333;0,5;
10.1001/jama.2012.6183;6602764751;6;0;1;48;0,25;0,166666667;0,5;0,5;1;0,5;0,5;0;0,333333333;0,333333333;
10.1001/jama.2016.21041;35514879800;4;1;4;30;0,333333333;0,333333333;0,333333333;0,333333333;1;0,5;1;0,25;0;0;
10.1001/jama.2009.422;7102777421;5;1;5;35;0,5;0,2;0,5;0,333333333;0,333333333;0,5;1;0;0,2;0,5;
10.1001/jama.2009.460;6701555365;5;0;1;36;0,333333333;0,2;1;0,5;0;1;0,5;0;0,2;0,333333333;
10.1001/jama.2015.8421;6602792468;4;0;1;33;1;0,25;1;0,5;1;0;0;0,25;0;0;
10.1001/jama.2014.8;7102961741;8;0;1;57;0,333333333;0,125;1;0;1;0;0,5;0;0;1;
10.1001/jama.2016.0783;9334863700;5;0;1;62;1;0,5;0,25;0,5;0,5;0;1;0,2;0;0;
10.1001/jama.2013.282426;55616238600;7;1;7;81;0,2;0,142857143;0,333333333;0,5;1;0,25;1;0;0,166666667;0,333333333;
10.1001/jama.2010.314;55986982600;4;0;1;33;0,333333333;0,333333333;0,25;0,25;0,5;1;0;0;0,25;1;
10.1001/jama.2012.36914;7003600473;6;0;1;44;0,333333333;0,166666667;1;1;0;0,166666667;0;0;1;0,25;
10.1001/jama.2012.502;22958914900;6;0;1;18;0,333333333;0;1;0,5;1;0;0,5;0;0,333333333;0,25;
10.1001/jama.2008.553;7006477567;5;1;5;94;0,5;0,2;0,5;0;0,5;0;1;0;0,2;1;
10.1001/jama.300.14.1660;7202842093;5;0;1;103;1;0;0,333333333;0,333333333;1;0,5;0;0;0,2;0,5;
10.1001/jama.2009.1548;7404419137;6;0;1;37;0,2;0,166666667;1;0,25;0,5;0,25;1;0;0,25;0,25;
10.1001/jama.2010.2000;7003898566;7;0;1;37;0,166666667;0,142857143;1;0,5;0,5;0,333333333;0,5;0;0,2;0,5;
10.1001/jama.2012.9307;7004051600;6;0;1;29;0,333333333;0,166666667;0,25;0,5;0,5;0,5;1;0;0,25;0,333333333;
10.1001/jama.2008.715;34972770600;6;0;1;34;0,5;0,166666667;1;1;0,166666667;0,5;0;0;0,166666667;0,333333333;
10.1001/jama.2009.722;26658261300;4;0;1;14;0,25;0,25;0,5;0,333333333;0,5;0,25;1;0;0,25;0,5;
10.1001/jama.2010.1635;6603720092;5;1;5;50;0,5;0,25;0;0,333333333;0,5;0,5;1;0;0,25;0,5;
10.1001/jama.299.9.1027;7003663894;8;0;1;47;1;0,125;0,5;0,25;0,5;0,125;1;0;0,166666667;0,125;
10.1001/jama.2015.25;7003640386;5;1;5;67;0,25;0,25;0,333333333;0,2;1;0,5;1;0,25;0;0;
10.1001/jama.2011.381;7101734115;4;1;4;141;0,5;0,25;0,5;0;1;0,25;0,5;0;0,5;0,25;
10.1001/jama.2011.1025;7102755980;7;0;1;68;0,333333333;0,142857143;0,5;0,333333333;0,5;0,25;1;0;0,142857143;0,5;
10.1001/jama.300.6.703;7202639126;5;0;1;47;0,2;0,25;0,5;0;0,25;1;1;0;0,5;0;
10.1001/jama.2012.41;7004752697;4;1;4;34;0,333333333;0,25;0,5;0,333333333;0,5;0;1;0;0,25;0,5;
10.1001/jama.2010.1098;7202252664;4;1;4;56;0,25;0,25;0,333333333;0;1;0;1;0;0,333333333;0,5;
10.1001/jama.2009.801;23392672200;4;0;1;25;0,333333333;0,25;1;1;0;0;0,333333333;0;0,5;0,25;
10.1001/jama.2012.7304;35292050600;9;1;9;55;0,25;0,125;0,25;0,166666667;0,5;0,25;1;0;0,111111111;1;
10.1001/jama.2010.885;6603860560;5;0;1;39;0,25;0,2;0,333333333;0,333333333;0,333333333;1;0,5;0;0,2;0,5;
10.1001/jama.2010.1140;7005926694;6;0;1;28;0,2;0;1;0,25;0;0;1;0;0,2;1;
10.1001/jama.300.11.1317;7006115298;8;1;8;63;0,2;0,125;0,5;1;0,333333333;0,125;1;0;0,2;0,166666667;
10.1001/jama.2010.297;9734197200;7;1;7;66;0,25;0,142857143;0,5;0;1;0,25;1;0;0,142857143;0,333333333;
10.1001/jama.2011.1474;7101902574;4;1;4;161;0,5;0;0,5;0;0,333333333;0;1;0;0,25;1;
10.1001/jama.2014.4949;8264466400;4;0;1;19;0,333333333;0,25;0,5;0,5;0,333333333;0,333333333;1;0,333333333;0;0;
10.1001/jama.2016.5352;35743192400;4;0;1;23;0,5;0,25;0,25;0,5;0,5;1;0,333333333;0,25;0;0;
10.1001/jama.2013.282829;7006265103;4;0;1;98;1;0,333333333;0,25;0;0,5;0,5;1;0;0;0;
10.1001/jama.2010.1636;7404219596;4;0,333333333;2;48;0,25;0,25;0,333333333;0;0,5;1;1;0;0,25;0;
10.1001/jama.2011.70;8568613100;4;0;1;10;0,5;0,25;0,5;0,333333333;0;0,25;1;0;0,25;0,5;
10.1001/jama.2010.79;7004802767;7;0;1;74;0,2;0,142857143;0,333333333;0,2;1;0;1;0;0,166666667;0,5;
10.1001/jama.2013.5154;26030750100;4;0;1;39;0,25;0,25;0,25;0;1;0,5;0,5;0;0,25;0,5;
10.1001/jama.2012.294;55184495600;6;0;1;20;0,5;0,166666667;0,5;0,5;1;0,166666667;0;0;0,166666667;0,5;
10.1001/jama.300.4.395;7006216972;6;0;1;21;0,333333333;0,166666667;0,25;0,5;0,5;0,2;1;0;0,333333333;0,2;
10.1001/jama.2016.8882;36606709700;5;0;1;15;0,333333333;0,2;1;0,5;1;0,2;0;0,25;0;0;
10.1001/jama.2008.1022;7007042258;5;1;5;77;0,25;0,2;0,333333333;0;0,5;0,5;1;0;0,2;0,5;
10.1001/jama.2010.761;22937577300;5;0;1;44;0,333333333;0,2;1;0,25;0;0,5;0,5;0;0,2;0,5;
10.1001/jama.2016.5415;10640363400;6;0;1;22;0,25;0,166666667;0,2;0,5;1;0,2;1;0,166666667;0;0;
10.1001/jama.2013.277817;56766925000;7;1;7;93;0,333333333;0,166666667;0;0;1;0,5;1;0;0,142857143;0,333333333;
10.1001/jama.2009.116;7005461186;7;0;1;41;0,142857143;0,142857143;0,5;0;1;0,333333333;1;0;0,333333333;0;
10.1001/jama.2011.942;35317939800;5;0;1;23;0,5;0,25;0,5;0;0,5;0;0,5;0;0,2;1;
10.1001/jama.2012.14312;7004176690;6;1;6;87;0,333333333;0,166666667;0,5;0,25;0,5;0;0,5;0;0,2;1;
10.1001/jama.2007.56-b;17344801500;10;0,111111111;2;36;0,5;0,1;0,5;0,5;0,5;0;1;0;0,142857143;0,2;
10.1001/jama.2011.22;36864743000;9;0;1;25;0,333333333;0,111111111;0,5;1;0,2;0,333333333;0,333333333;0;0,111111111;0,5;
10.1001/jama.300.7.814;9741299100;4;0;1;54;0,333333333;0,25;0,25;0,333333333;0;1;0;0;0,25;1;
10.1001/jama.2009.1462;7102733401;4;0,666666667;3;57;0,25;0,333333333;0,25;0,5;0,5;0,5;0,5;0;0,25;0,333333333;
10.1001/jama.2012.187612;47061524200;4;0;1;22;0,5;0,25;1;0,5;0,333333333;0;0;0;0,333333333;0,5;
10.1001/jama.2009.761;55650401900;4;0,666666667;3;74;0,333333333;0,25;0,5;0,25;0,5;0,5;0,5;0;0,25;0,333333333;
10.1001/jama.2008.755;57200902042;6;0;1;35;0,5;0,166666667;1;1;0;0;0,333333333;0;0,166666667;0,25;
10.1001/jama.2016.7789;35480209700;5;0;1;77;0,25;0,2;1;0;0,5;0,25;1;0,2;0;0;
10.1001/jama.2010.841;24391425500;6;0;1;18;0,2;0,166666667;0,333333333;0,5;0;0;1;0;0,2;1;
10.1001/jama.2015.8609;16315251100;8;1;8;58;0,125;0,125;0,5;0,2;1;0,2;1;0,25;0;0;
10.1001/jama.2013.285141;6603757230;7;1;7;69;0,333333333;0,142857143;0,333333333;0,166666667;1;0;1;0;0,166666667;0,25;
10.1001/jama.2013.3792;24605722700;6;0;1;11;0,25;0,166666667;0,333333333;0,25;0,2;0,5;0,5;0;0,166666667;1;
10.1001/jama.2010.791;36618549300;6;1;6;37;0,2;0,166666667;0,5;0;1;0,333333333;0,5;0;0,166666667;0,5;
10.1001/jama.2009.341;7007048974;11;1;11;69;0,25;0,090909091;0,333333333;0,25;0,5;0,333333333;1;0;0,1;0,5;
10.1001/jama.2010.167;55636314829;7;1;7;109;0,2;0,142857143;0,5;0;0,5;0,5;0,333333333;0;0,166666667;1;
10.1001/jama.2009.126;8537225300;4;1;4;28;0,25;0,25;0,25;0,25;1;0,5;0,25;0;0,25;0,333333333;
10.1001/jama.2008.720;55443499800;6;0;1;13;0,333333333;0,166666667;0,5;0,5;0,25;0,333333333;0,5;0;0,25;0,5;
10.1001/jama.300.2.189;16302760200;6;0;1;16;0,333333333;0,166666667;1;0,333333333;0;0,333333333;0;0;0,166666667;1;
10.1001/jama.300.8.907;57203069058;5;1;5;172;0,5;0,2;0;0,333333333;0,333333333;1;0,5;0;0,2;0,25;
10.1001/jama.2010.237;6603757230;8;0;1;69;1;0,125;0,5;0,2;1;0;0;0;0,142857143;0,333333333;
10.1001/jama.2010.893;36162084900;5;0;1;4;0,2;0,2;0,25;1;0,2;0,5;0,25;0;0,2;0,5;
10.1001/jama.2009.1111;7406742171;5;1;5;49;0,333333333;0,2;0,333333333;0,333333333;0,5;1;0,333333333;0;0,25;0;
10.1001/jama.2009.1347;18535933700;5;1;5;190;0,333333333;0,2;0,5;0;0,5;0,25;1;0;0,25;0,25;
10.1001/jama.2011.334;7402397883;5;0;1;76;0,5;0,2;0,333333333;0;0,5;0,5;0,5;0;0,25;0,5;
10.1001/jama.2011.334;35512714800;5;0,25;2;36;0,5;0,2;0,333333333;0,5;0,5;0,5;0,5;0;0,25;0;
10.1001/jama.2011.381;35241422200;4;0;1;14;0,5;0,25;0,5;1;0;0,25;0;0;0,5;0,25;
10.1001/jama.300.10.1135;7403281165;4;0;1;36;0,25;0,25;1;0,5;1;0;0;0;0,25;0;
10.1001/jama.2012.454;7005173885;6;1;6;83;0,333333333;0;0,5;0;0,5;0,25;0,5;0;0,166666667;1;
10.1001/jama.2012.383;7003523488;5;0;1;36;0,25;0,2;0,333333333;1;0;0,25;0,5;0;0,2;0,5;
10.1001/jama.2012.13260;7402388291;5;0;1;60;1;0,2;0,5;0,333333333;1;0;0;0;0,2;0;
10.1001/jama.2012.6756;36065734400;9;1;9;143;0,5;0,111111111;0,5;0;1;0,5;0;0;0,111111111;0,5;
10.1001/jama.2010.944;26643178700;7;0;1;95;0,25;0,142857143;0,333333333;0,333333333;0,333333333;0,333333333;1;0;0,142857143;0,333333333;
10.1001/jama.2009.1137;7202250790;5;1;5;67;0,5;0,2;0,5;0,333333333;1;0,333333333;0;0;0,333333333;0;
10.1001/jama.2015.6822;7801650512;5;1;5;30;0,333333333;0,25;0,333333333;0,25;0,5;0,333333333;1;0,2;0;0;
10.1001/jama.300.6.703;9043039800;5;0,25;2;40;0,2;0;0,5;1;0;0;0;0;0,5;1;
10.1001/jama.2014.14950;15848778500;6;0;1;17;0,333333333;0,166666667;0,25;0,25;0,5;0,5;1;0,2;0;0;
10.1001/jama.2012.7870;7004451284;12;0;1;129;0,2;0,083333333;1;0;0,333333333;0,166666667;1;0;0,083333333;0,333333333;
10.1001/jama.2012.13356;35447905100;6;0,2;2;117;0,333333333;0,25;0,2;0,333333333;0,333333333;0,25;1;0;0,25;0,25;
10.1001/jama.2009.2008;23049862800;6;0;1;21;0,333333333;0;1;0,5;0,5;0;0,5;0;0,166666667;0,2;
10.1001/jama.2013.755;7003640386;5;0;1;67;0,25;0,2;0,333333333;0,2;0,5;0;1;0;0,2;0,5;
10.1001/jama.2014.15715;7003921473;4;1;4;58;0,5;0,25;0,333333333;0,333333333;1;0;0,5;0,25;0;0;
10.1001/jama.2016.9819;7004302588;4;1;4;30;0,25;0,333333333;0;0;1;1;0,333333333;0,25;0;0;
10.1001/jama.2012.7115;8380484100;6;0;1;22;0,333333333;0;0,5;0,333333333;0,333333333;0;1;0;0,166666667;0,5;
10.1001/jama.2015.8035;7101902574;5;0;1;161;0,5;0,2;0,25;0;0,5;0,5;1;0,2;0;0;
10.1001/jama.300.7.823;7003442267;5;0,25;2;49;0,5;0,2;0,5;0,25;0,5;0,5;0;0;0,2;0,5;
10.1001/jama.2010.1797;17136657200;5;0;1;18;0,2;0,2;0,5;0,5;0;0,333333333;0,2;0;0,2;1;
10.1001/jama.300.12.1417;25954504100;6;0;1;68;0,5;0,166666667;0,5;0;0,5;0;1;0;0,2;0,25;
10.1001/jama.2009.545;13308077100;5;1;5;42;0,333333333;0,2;0;0,333333333;0,5;0;1;0;0,25;0,5;
10.1001/2012.jama.11153;6602121327;6;0;1;30;0,333333333;0,25;0,333333333;0;0,333333333;0,2;1;0;0,166666667;0,5;
10.1001/jama.2012.36522;7101672912;10;0;1;8;0,111111111;0,1;1;0,5;0,5;0,142857143;0;0;0,25;0,5;
10.1001/jama.2013.276733;7401799979;9;0;1;15;0,166666667;0,125;0,166666667;0,2;0,5;0,333333333;0,5;0;0,111111111;1;
10.1001/jama.2010.1972;7005172853;9;0;1;44;0,333333333;0,125;0,5;0,333333333;0,5;0,166666667;0,5;0;0,142857143;0,5;
10.1001/jama.2011.1201;35380207800;8;1;8;69;0,166666667;0,166666667;0,25;0,333333333;1;0,333333333;0,5;0;0,142857143;0,2;
10.1001/jama.2012.2001;16232448800;4;0;1;26;1;0,25;1;0,333333333;0;0;0;0;0;0,5;
10.1001/jama.2008.621;7007170557;4;1;4;114;0,25;0,333333333;0;0,5;0,333333333;0,5;0,5;0;0,333333333;0,333333333;
10.1001/jama.299.17.2037;57206520256;4;1;4;233;0,25;0,25;0;0;0,5;1;0,5;0;0,25;0,333333333;
10.1001/jama.2013.283980;8376991700;6;0;1;11;0,5;0,166666667;0,5;0,5;0;0,333333333;0,5;0;0,25;0,333333333;
10.1001/jama.2008.804;6603864613;6;0;1;43;0,5;0,166666667;0,333333333;0,25;0,5;0,333333333;0,5;0;0,25;0,25;
10.1001/jama.2010.621;7006517548;4;0;1;90;0,5;0;0;0;1;0,333333333;0,5;0;0,25;0,5;
10.1001/jama.2011.70;7102879038;4;1;4;50;0,5;0,25;0,5;0,333333333;0,5;0,25;0;0;0,25;0,5;
10.1001/jama.2012.340;7202137891;4;1;4;43;0,25;0,25;0;0,333333333;0,5;0,5;0,5;0;0,25;0,5;
10.1001/jama.2010.1553;6701569211;4;0;1;45;0,333333333;0,25;0,333333333;0,25;0,333333333;0,333333333;1;0;0,25;0;
10.1001/jama.2010.1553;35500660200;4;1;4;63;0,333333333;0,25;0,333333333;0,25;0,333333333;0,333333333;0;0;0,25;1;
10.1001/jama.2014.15688;57209647747;10;0,111111111;2;7;0,333333333;0,111111111;0,2;0,5;0,333333333;0,5;1;0,1;0;0;
10.1001/jama.2010.921;26643529700;7;1;7;42;0,2;0,142857143;0,25;0;0,333333333;1;0,5;0;0,142857143;0,5;
10.1001/jama.2014.8334;7005514154;7;1;7;76;0,333333333;0,142857143;0,166666667;0,25;1;0;1;0,142857143;0;0;
10.1001/jama.2014.17322;56529787100;5;1;5;114;0,5;0,25;0,25;0,5;0,333333333;0;1;0,2;0;0;
10.1001/jama.2009.517;7402339393;6;1;6;82;0,333333333;0,25;0,25;0;1;0;0,5;0;0,2;0,5;
10.1001/jama.2011.1385;8878640100;11;0,1;2;42;0,090909091;0,090909091;0,090909091;1;0,333333333;0,333333333;0;0;0,090909091;1;
10.1001/jama.2012.101;6602118345;8;0;1;69;1;0,333333333;0,142857143;0,2;1;0;0;0;0,125;0,2;
10.1001/jama.2016.6176;57203043792;8;0;1;5;0,2;0,142857143;0,333333333;0,5;0,5;0,2;1;0,125;0;0;
10.1001/jama.2014.732;7005808871;4;0;1;60;0,5;0,25;1;0;1;0;0;0;0,25;0;
10.1001/jama.2010.651;6603060118;4;0;1;45;0,25;0;1;1;0;0;0;0;0,25;0,5;
10.1001/jama.2012.173925;57210200940;4;1;4;25;0,25;0,25;0;0,25;1;0,5;0;0;0,25;0,5;
10.1001/jama.2016.4666;37013024000;4;0;1;26;0,5;0,25;1;1;0;0;0;0,25;0;0;
10.1001/jama.2010.1735;7006089753;5;0,25;2;36;0,2;0,2;0,2;1;0,2;0,25;0,5;0;0,2;0,25;
10.1001/jama.2009.547;7007047316;9;0,75;7;58;0,333333333;0,125;0,333333333;0;0,5;1;0,333333333;0;0,111111111;0,25;
10.1001/jama.2013.129;8503849400;5;1;5;52;0,25;0,2;0,333333333;0,333333333;0,5;0,5;0,333333333;0;0,2;0,333333333;
10.1001/jama.300.8.907;6602334834;5;0;1;25;0,5;0,2;1;0,333333333;0;0;0,5;0;0,2;0,25;
10.1001/jama.300.5.550;7403120493;7;0;1;67;0,25;0,142857143;1;0,25;0,5;0;0,333333333;0;0,25;0,25;
10.1001/jama.2015.1671;7005920025;19;1;19;67;0,2;0,052631579;0,333333333;0,5;0,5;0,333333333;1;0,052631579;0;0;
10.1001/jama.299.5.540;7401942875;12;0;1;62;0,2;0,090909091;0,25;0,5;0,5;0,111111111;1;0;0,2;0,111111111;
10.1001/jama.2015.13043;7201672985;8;0;1;23;0,166666667;0,125;1;0,5;1;0;0;0,166666667;0;0;
10.1001/jama.2013.276303;35552414200;9;0;1;45;0,125;0;0,333333333;0,25;0,5;0,25;1;0;0,166666667;0,333333333;
10.1001/jama.2011.659;7005328314;7;1;7;62;0,5;0,142857143;0,5;0;1;0;0,5;0;0,142857143;0,166666667;
10.1001/jama.300.5.509;7005514154;9;1;9;76;0,333333333;0,125;0,166666667;0;1;0;1;0;0,2;0,125;
10.1001/jama.2009.1389;7402188806;5;0;1;38;0,25;0,2;0,5;1;0;0;0,333333333;0;0,333333333;0,333333333;
10.1001/jama.2009.1902;55362484500;5;0;1;50;0,333333333;0,2;0,333333333;0;0,5;0;1;0;0,25;0,333333333;
10.1001/jama.2011.601;14423910600;6;0;1;19;0,333333333;0,166666667;0,5;0;0;1;0,5;0;0,25;0,2;
10.1001/jama.2011.1060;8902700900;5;0;1;14;0,25;0,2;0,5;0,5;0,2;0,2;0,333333333;0;0,5;0,25;
10.1001/jama.2011.1060;6603026224;5;1;5;36;0,25;0,2;0,5;0,5;0,2;0,2;0,333333333;0;0,5;0,25;
10.1001/jama.2014.2269;29667504200;4;0;1;41;0,5;0,25;0,5;1;0;0;0,333333333;0,333333333;0;0;
10.1001/jama.2009.723;26643178700;7;0;1;95;0,25;0,166666667;0,333333333;0,25;0,25;0,25;1;0;0,166666667;0,25;
10.1001/jama.2009.1462;7402941836;4;1;4;31;0,25;0,333333333;0,25;0;0,5;0,5;0,5;0;0,25;0,333333333;
10.1001/jama.2013.159;7003538882;7;0;1;38;0,166666667;0,333333333;0,333333333;0,333333333;0,333333333;0,5;0,25;0;0,166666667;0,5;
10.1001/jama.300.6.691;6506441612;7;0;1;26;0,25;0,166666667;0,5;0;0,333333333;0,5;0,5;0;0,166666667;0,5;
10.1001/jama.2011.1127;6603757230;8;1;8;69;0,142857143;0,125;0,166666667;0;1;0;1;0;0,142857143;0,333333333;
10.1001/jama.2013.4208;57206224901;5;1;5;26;0,333333333;0,2;0,333333333;0,333333333;0,5;0,5;0,5;0;0,2;0;
10.1001/jama.2012.12505;7102160257;10;0;1;50;0,111111111;0,1;1;0,333333333;0,5;0,333333333;0,25;0;0,1;0,166666667;
10.1001/jama.2013.1644;7006125159;7;1;7;124;0,333333333;0,142857143;0;0,25;0,25;1;0,5;0;0,166666667;0,25;
10.1001/jama.2013.3710;36762222000;9;0;1;11;0,2;0;1;0,333333333;0,333333333;0,142857143;0,5;0;0,2;0,166666667;
10.1001/jama.2012.3951;55211216600;6;0;1;20;0,333333333;0,166666667;0,333333333;0,5;0;0;1;0;0,2;0,333333333;
10.1001/jama.2009.146;7006480193;7;1;7;51;0,333333333;0,2;0;0;1;0;1;0;0,333333333;0;
10.1001/jama.2014.9087;24559254500;8;0;1;24;0,25;0,125;1;0,5;0,2;0,166666667;0,5;0,125;0;0;
10.1001/jama.2011.1926;7403721501;12;1;12;67;0,090909091;0,083333333;0,090909091;0;1;0;0,5;0;0,083333333;1;
10.1001/jama.2012.5847;7101968697;16;0;1;31;0,333333333;0,0625;0,083333333;0,333333333;0,333333333;1;0,5;0;0,071428571;0,125;
10.1001/jama.2011.902;7201721429;4;1;4;70;0,5;0,333333333;0;0;1;0,5;0;0;0;0,5;
10.1001/jama.2017.7118;24367283400;4;0;1;11;0;0,25;1;0,333333333;0;1;0;0,25;0;0;
10.1001/jama.299.7.769;7102502534;4;1;4;50;0;0,25;0,5;0;0,333333333;0,5;0,5;0;0,5;0,25;
10.1001/jama.2009.1669;35253506900;4;0,333333333;2;10;0,25;0,333333333;0,25;0,25;0,5;0,5;0;0;0,25;0,5;
10.1001/jama.2009.956;36752666200;4;0;1;12;0,333333333;0,25;0,5;0,5;0;0;0;0;0,25;1;
10.1001/jama.2009.956;56832406900;4;1;4;40;0,333333333;0,25;0,5;0,5;0,5;0;0,5;0;0,25;0;
10.1001/jama.2015.8761;56668540200;4;0;1;6;0,333333333;0,25;0,5;1;0;0;0,5;0,25;0;0;
10.1001/jama.2008.804;7004312288;6;1;6;88;0,5;0,166666667;0,333333333;0,25;0,5;0,333333333;0,5;0;0,25;0;
10.1001/jama.299.13.1574;57203633108;18;1;18;36;0,333333333;0,055555556;0,166666667;0,2;0,25;0,5;1;0;0,0625;0,25;
10.1001/jama.2009.1356;7401922745;5;1;5;29;0,333333333;0,2;0,5;0,5;0;0,5;0,25;0;0,2;0,333333333;
10.1001/jama.2013.281954;7201613558;6;0;1;52;0,5;0,166666667;0,5;0,2;1;0;0;0;0,2;0,25;
10.1001/jama.2012.3424;36045760600;6;0;1;179;0,25;0,2;0,5;0,5;0,333333333;0,333333333;0,5;0;0,2;0;
10.1001/jama.2011.124;24597333900;7;0;1;14;0,142857143;0;1;0,5;0;0;0;0;0,166666667;1;
10.1001/jama.2011.67;7801494634;7;1;7;32;0,25;0,142857143;0,333333333;0,25;0,333333333;0,5;0,333333333;0;0,166666667;0,5;
10.1001/jama.2009.1144;6701754861;7;0;1;56;0,25;0;0,5;0,25;1;0;0,333333333;0;0,142857143;0,333333333;
10.1001/jama.2009.1507;7005983236;6;0,2;2;42;0,333333333;0,2;0,2;0,5;0,5;0,2;0,5;0;0,166666667;0,2;
10.1001/jama.2010.80;57203633108;10;1;10;36;0,333333333;0,1;0,2;0,142857143;0,333333333;0,25;1;0;0,1;0,333333333;
10.1001/jama.2009.886;35290518800;7;0;1;59;0,333333333;0,142857143;0,5;0,25;0,333333333;0,333333333;0,25;0;0,142857143;0,5;
10.1001/jama.299.19.2279;7202211117;5;1;5;34;0,5;0;0,333333333;0;0,5;1;0;0;0,2;0,25;
10.1001/jama.2009.1347;7201397045;5;0;1;35;0,333333333;0,2;0,5;0,5;0,5;0,25;0;0;0,25;0,25;
10.1001/jama.2015.5511;6602905609;5;0;1;3;0,5;0,25;0,333333333;0;1;0,5;0;0,2;0;0;
